Wind NREL,Wind,Solar NREL,Solar
0.766891853,43.87428006,1890.454369,401.3
0.663519937,40.95518398,1763.352121,390.2
0.564870695,38.66237432,1621.102605,388.2
0.471316532,36.57058318,1464.734183,362.6
0.400201,34.37591374,1295.357002,324.2
0.359974016,32.77959392,1114.408351,276.7
0.369617815,32.24268061,923.4073073,210.5
0.461779028,31.45873906,723.872945,174.5
0.68901207,29.88318104,520.04561,45.7
0.977446616,29.49321455,327.0507298,9.4
1.258841739,29.1851734,162.7350025,7.4
1.464331342,30.21226688,44.945126,4.4
1.839093248,28.2808063,9.488347189,0
2.355369549,26.55125725,0.027075974,0
3.174592581,26.58903208,0,0
4.594631516,26.58242,0,0
7.357034378,26.31374105,0,0
10.80701007,23.92430966,0,0
14.46340569,21.84959493,0,0
17.88670765,19.10541781,0,0
20.96288911,17.49239652,0,0
23.72741385,17.45396794,0,0
26.50634998,17.49190271,0,0
29.59778963,15.41483544,0,0
33.83355963,13.65184623,0,0
39.19238143,13.47962995,0,0
45.85642048,13.6696074,0,0
54.00784223,13.00568864,0,0
63.8249334,11.80765515,0,0
75.47046587,10.6718156,0,0
89.10333277,10.31879186,0,0
104.8824272,10.75023516,0,0
122.8103501,11.14834503,0,0
142.2645324,11.21260679,0,0
162.4661132,10.80896172,0,0
182.6362313,11.53658806,0,0
201.9922156,13.3707072,0,0
219.7361559,14.74974186,0,0
235.0663322,12.60118163,0,0
247.1810243,14.81132579,0,0
255.6566696,12.93605584,0,0
261.5823334,11.85205852,0,0
266.4252384,11.86995662,0,0
271.6526076,9.914464865,0,0
278.2792099,9.027911139,0,0
285.5099997,8.746337343,0,0
292.0974781,9.653520908,0,0
296.794146,10.71194433,0,0
298.8160354,11.44239712,0,0
299.2023061,11.50510613,0,0
299.4611634,11.70673497,0,0
301.1016144,11.7846261,0,0
305.2239839,12.67027282,0,0
311.2913479,13.12304269,0,0
318.3410553,13.60881322,0,0
325.4209391,14.3109627,0,0
331.7195365,15.88571097,0,0
336.8956309,16.13943037,0,0
340.739752,15.04334846,0,0
343.0422382,13.12442084,0,0
343.8195612,12.12512919,0,0
343.9662981,11.72101839,0,0
344.607766,11.07501306,0,0
346.8692819,10.66553548,0,0
351.1636963,11.60494479,23.83060149,0
355.0450766,12.30899489,65.50339407,0
355.3560811,12.60284357,128.8441542,0
348.9393684,12.18186011,222.6866893,0
333.5866933,10.66164657,357.5573636,2
310.8755634,9.279520061,521.1407425,38
283.3318901,8.455488992,702.285569,151.4
253.4815215,8.350122909,890.7958944,231.1
223.6196365,8.125352285,1076.562034,284.5
195.1040552,9.159386649,1254.32518,325.3
169.0603869,10.40874085,1419.958552,359.6
146.6165656,11.90676901,1569.335367,391.1
128.9842625,12.37607352,1699.879506,440.7
115.2621608,11.88368411,1815.217491,483.5
104.3773694,11.45061569,1920.526506,521.7
96.92246543,11.48540202,2020.983737,529.9
91.80300154,12.12627406,2119.645574,543.1
88.58697763,12.51497172,2211.085242,559.6
86.87776026,13.29947356,2287.755176,565.6
86.27855443,14.33696846,2342.107809,576
86.50689145,17.00106497,2368.80534,582.7
87.73612459,20.16283117,2371.349034,585.7
90.25369012,21.58195954,2355.449923,586.4
94.34702426,21.81396608,2326.819039,583.3
100.273617,22.36069014,2289.917087,584.1
108.1578832,23.97548942,2244.203465,586.9
118.0927185,25.84220219,2187.887247,583.7
130.1710624,27.36476581,2119.177505,569.6
144.3985925,28.2878746,2036.977073,554.9
160.3818386,28.46995458,1942.963837,541.7
177.6344576,28.14065659,1839.509445,536.5
195.6701065,28.38531616,1728.985543,523.3
214.08057,28.69889583,1613.052225,507.4
232.6095456,28.80958457,1490.523368,491.8
251.0557116,28.6382159,1359.501295,468.5
269.2953493,28.68587238,1218.08833,443.3
287.2933604,29.19236685,1065.246779,403.3
305.4206535,29.47449855,903.3788798,361.8
324.2094182,29.11616154,735.7468537,307.1
344.182332,29.73513077,565.6129217,243.6
365.5111333,30.10272459,397.7902539,136
386.9842602,27.28664694,243.2958159,52.5
407.0436446,28.01762952,114.6975227,8.8
424.1312184,25.83847956,24.56328882,6.3
437.2663933,26.54146745,2.272230419,2.7
447.7220317,26.08313464,0.422200403,0
457.3837684,25.2611937,0.179554691,0
468.1090038,23.0614618,0,0
481.0390055,21.55515948,0,0
494.4222745,21.10556151,0,0
505.7841207,21.65304304,0,0
512.6498535,21.02281036,0,0
513.2679447,19.86912908,0,0
508.7795149,18.09653397,0,0
501.0488475,17.99914562,0,0
491.9402252,17.30339204,0,0
483.0667387,16.7191637,0,0
475.036709,16.87389116,0,0
468.2072647,17.20596224,0,0
462.935534,17.13307727,0,0
459.5677076,17.20055652,0,0
458.406223,17.45457819,0,0
459.7425793,18.74804697,0,0
463.8682763,20.44836834,0,0
470.749835,21.49639522,0,0
479.0538636,22.22920426,0,0
487.121992,23.60414646,0,0
493.29585,25.54200819,0,0
496.4182429,26.08938303,0,0
497.3366757,26.88860208,0,0
497.399829,27.72576581,0,0
497.956383,28.37407502,0,0
500.4714835,29.07408232,0,0
504.4842538,29.91364358,0,0
508.7019458,29.99629677,0,0
512.4165928,29.92061369,0,0
516.9445049,29.16042657,0,0
520.9893021,28.73010066,0,0
524.2086748,28.60046131,0,0
526.260313,27.60328857,0,0
526.9415575,27.99713511,0,0
526.1808001,28.13593189,0,0
524.0051488,25.94385329,0,0
520.6739075,25.4726447,0,0
516.3173128,25.99766443,0,0
511.2940898,25.51085805,0,0
506.0429263,24.1349739,0,0
501.0025097,22.87165381,0,0
496.4002495,21.31454943,0,0
491.6184438,23.86649537,0,0
485.8281125,24.78174236,0,0
478.2002757,23.73469681,0,0
468.2819603,22.96850549,0,0
457.1242208,24.20030633,0,0
446.1541189,25.84528874,0,0
436.7987162,27.86734572,0,0
430.1160124,29.74792111,17.84370728,0
425.6877606,31.31874645,46.64715062,0
422.726652,31.39185047,88.0753816,0
420.4453782,31.03984714,145.4105201,0
418.4869845,31.1783743,223.7744661,1.9
415.390183,32.7770319,319.3331478,64.7
410.5630932,33.16570569,429.5204133,157.4
403.5928837,32.89319968,551.7701107,242.7
394.410933,32.61719251,684.2653455,287.5
383.8363974,32.4905529,814.8106351,323.2
373.2757404,33.52923488,930.4616231,354
364.1354255,33.44691945,1018.273954,451.6
357.5443429,32.37827408,1070.800824,495.5
353.3164491,23.08552736,1102.585649,519
351.0675014,15.40892022,1133.669398,537.4
350.3900173,10.96853287,1184.093037,545.7
351.0779161,22.73908035,1267.748515,559.8
353.7422155,31.43123648,1373.931691,566.1
359.1590042,39.11765649,1485.789402,569.3
368.2088598,48.81345037,1586.468487,568.3
381.3312224,42.7302182,1661.390982,575.5
397.0118201,38.54402905,1705.079717,579.5
413.2753478,36.64552866,1714.33272,582.1
428.1707197,41.92068828,1685.948019,584.3
440.2654323,45.09666986,1619.988946,582.1
449.3585948,51.75299358,1529.580045,577.3
455.6012124,64.39675246,1431.111161,569.8
459.1767886,79.1839622,1340.972143,566
460.5102383,89.24783397,1270.876155,555.6
460.4611619,77.44625655,1213.829638,543.6
460.0684829,66.61302179,1158.162352,527.4
460.3711254,62.88372582,1092.204054,519
462.0845895,67.56462274,1007.658686,512.6
464.6179387,69.4380647,909.7269141,503.3
466.5081906,67.69809873,806.9835852,487.3
466.8328455,59.26874594,708.0035472,466
465.4635419,74.70610547,621.8406525,423.6
464.3099286,67.12904827,540.0892282,374.9
466.0161203,60.79945126,456.402442,314.6
473.3604919,62.39830989,366.8691469,243.2
488.2850429,51.15464616,270.0153959,142.3
508.6112352,46.79689222,174.1160437,50.4
531.2891853,42.22773446,89.883145,8.1
553.2690102,45.01529603,28.02875465,5.8
572.0352578,50.72904777,5.469722684,0
587.2102008,50.74661014,0.162736692,0
598.9505429,59.78155851,0,0
607.4129881,51.79278581,0,0
612.80122,46.71954048,0,0
615.5068411,47.32054548,0,0
615.9684337,51.42465338,0,0
614.6245804,65.41915392,0,0
612.0450087,73.75641013,0,0
609.3240288,79.25885064,0,0
607.6870953,73.35586335,0,0
608.3596641,68.00496647,0,0
611.9903944,65.27135584,0,0
616.9207637,76.86923459,0,0
620.9154538,91.88075424,0,0
621.7391463,95.4544319,0,0
617.9232826,108.5991847,0,0
611.0663416,115.3174996,0,0
603.5335617,120.0664771,0,0
597.6901816,131.3180376,0,0
595.1985287,151.2440331,0,0
594.909287,156.1364465,0,0
594.9702296,172.9773185,0,0
593.5291294,171.7028943,0,0
589.0828664,164.2542246,0,0
581.5247479,167.5502008,0,0
571.0971881,178.7197034,0,0
558.0426011,194.2729731,0,0
543.0297351,190.7200594,0,0
528.4326725,178.590956,0,0
